Date,close,Volume,Open,High,Low
6/10/2022,3900.86,--,3974.39,3974.39,3900.16
6/9/2022,4017.82,--,4101.65,4119.1,4017.17
6/8/2022,4115.77,--,4147.12,4160.14,4107.2
6/7/2022,4160.68,--,4096.47,4164.86,4080.19
6/6/2022,4121.43,--,4134.72,4168.78,4109.18
6/3/2022,4108.54,--,4137.57,4142.67,4098.67
6/2/2022,4176.82,--,4095.41,4177.51,4074.37
6/1/2022,4101.23,--,4149.78,4166.54,4073.85
5/31/2022,4132.15,--,4151.09,4168.34,4104.88
5/27/2022,4158.24,--,4077.43,4158.49,4077.43
5/26/2022,4057.84,--,3984.6,4075.14,3984.6
5/25/2022,3978.73,--,3929.59,3999.33,3925.03
5/24/2022,3941.48,--,3942.94,3955.68,3875.13
5/23/2022,3973.75,--,3927.02,3981.88,3909.04
5/20/2022,3901.36,--,3927.76,3943.42,3810.32
5/19/2022,3900.79,--,3899,3945.96,3876.58
5/18/2022,3923.68,--,4051.98,4051.98,3911.91
5/17/2022,4088.85,--,4052,4090.72,4033.93
5/16/2022,4008.01,--,4013.02,4046.46,3983.99
5/13/2022,4023.89,--,3963.9,4038.88,3963.9
5/12/2022,3930.08,--,3903.95,3964.8,3858.87
5/11/2022,3935.18,--,3990.08,4049.09,3928.82
5/10/2022,4001.05,--,4035.18,4068.82,3958.17
5/9/2022,3991.24,--,4081.27,4081.27,3975.48
5/6/2022,4123.34,--,4128.17,4157.69,4067.91
5/5/2022,4146.87,--,4270.43,4270.43,4106.01
5/4/2022,4300.17,--,4181.18,4307.66,4148.91
5/3/2022,4175.48,--,4159.78,4200.1,4147.08
5/2/2022,4155.38,--,4130.61,4169.81,4062.51
4/29/2022,4131.93,--,4253.75,4269.68,4124.28
4/28/2022,4287.5,--,4222.58,4308.45,4188.63
4/27/2022,4183.96,--,4186.52,4240.71,4162.9
4/26/2022,4175.2,--,4278.14,4278.14,4175.04
4/25/2022,4296.12,--,4255.34,4299.02,4200.82
4/22/2022,4271.78,--,4385.83,4385.83,4267.62
4/21/2022,4393.66,--,4489.17,4512.94,4384.47
4/20/2022,4459.45,--,4472.26,4488.29,4448.76
4/19/2022,4462.21,--,4390.63,4471.03,4390.63
4/18/2022,4391.69,--,4385.63,4410.31,4370.3
4/14/2022,4392.59,--,4449.12,4460.46,4390.77
4/13/2022,4446.59,--,4394.3,4453.92,4392.7
4/12/2022,4397.45,--,4437.59,4471,4381.34
4/11/2022,4412.53,--,4462.64,4464.35,4408.38
4/8/2022,4488.28,--,4494.15,4520.41,4474.6
4/7/2022,4500.21,--,4474.65,4521.16,4450.3
4/6/2022,4481.15,--,4494.17,4503.94,4450.04
4/5/2022,4525.12,--,4572.45,4593.45,4514.17
4/4/2022,4582.64,--,4547.97,4583.5,4539.21
4/1/2022,4545.86,--,4540.32,4548.7,4507.57
3/31/2022,4530.41,--,4599.02,4603.07,4530.41
3/30/2022,4602.45,--,4624.2,4627.77,4581.32
3/29/2022,4631.6,--,4602.86,4637.3,4589.66
3/28/2022,4575.52,--,4541.09,4575.65,4517.69
3/25/2022,4543.06,--,4522.91,4546.03,4501.07
3/24/2022,4520.16,--,4469.98,4520.58,4465.17
3/23/2022,4456.24,--,4493.1,4501.07,4455.81
3/22/2022,4511.61,--,4469.1,4522,4469.1
3/21/2022,4461.18,--,4462.4,4481.75,4424.3
3/18/2022,4463.12,--,4407.34,4465.4,4390.57
3/17/2022,4411.67,--,4345.11,4412.67,4335.65
3/16/2022,4357.86,--,4288.14,4358.9,4251.99
3/15/2022,4262.45,--,4188.82,4271.05,4187.9
3/14/2022,4173.11,--,4202.75,4247.57,4161.72
3/11/2022,4204.31,--,4279.5,4291.01,4200.49
3/10/2022,4259.52,--,4252.55,4268.28,4209.8
3/9/2022,4277.88,--,4223.1,4299.4,4223.1
3/8/2022,4170.7,--,4202.66,4276.94,4157.87
3/7/2022,4201.09,--,4327.01,4327.01,4199.85
3/4/2022,4328.87,--,4342.12,4342.12,4284.98
3/3/2022,4363.49,--,4401.31,4416.78,4345.56
3/2/2022,4386.54,--,4322.56,4401.48,4322.56
3/1/2022,4306.26,--,4363.14,4378.45,4279.54
2/28/2022,4373.94,--,4354.17,4388.84,4315.12
2/25/2022,4384.65,--,4298.38,4385.34,4286.83
2/24/2022,4288.7,--,4155.77,4294.73,4114.65
2/23/2022,4225.5,--,4324.93,4341.51,4221.51
2/22/2022,4304.76,--,4332.74,4362.12,4267.11
2/18/2022,4348.87,--,4384.57,4394.6,4327.22
2/17/2022,4380.26,--,4456.06,4456.06,4373.81
2/16/2022,4475.01,--,4455.75,4489.55,4429.68
2/15/2022,4471.07,--,4429.28,4472.77,4429.28
2/14/2022,4401.67,--,4412.61,4426.22,4364.84
2/11/2022,4418.64,--,4506.27,4526.33,4401.41
2/10/2022,4504.08,--,4553.24,4588.92,4484.31
2/9/2022,4587.18,--,4547,4590.03,4547
2/8/2022,4521.54,--,4480.02,4531.32,4465.4
2/7/2022,4483.87,--,4505.75,4521.86,4471.47
2/4/2022,4500.53,--,4482.79,4539.66,4451.5
2/3/2022,4477.44,--,4535.41,4542.88,4470.39
2/2/2022,4589.38,--,4566.39,4595.31,4544.32
2/1/2022,4546.54,--,4519.57,4550.49,4483.53
1/31/2022,4515.55,--,4431.79,4516.89,4414.02
1/28/2022,4431.85,--,4336.19,4432.72,4292.46
1/27/2022,4326.51,--,4380.58,4428.74,4309.5
1/26/2022,4349.93,--,4408.43,4453.23,4304.8
1/25/2022,4356.45,--,4366.64,4411.01,4287.11
1/24/2022,4410.13,--,4356.32,4417.35,4222.62
1/21/2022,4397.94,--,4471.38,4494.52,4395.34
1/20/2022,4482.73,--,4547.35,4602.11,4477.95
1/19/2022,4532.76,--,4588.03,4611.55,4530.2
1/18/2022,4577.11,--,4632.24,4632.24,4568.7
1/14/2022,4662.85,--,4637.99,4665.13,4614.75
1/13/2022,4659.03,--,4733.56,4744.13,4650.29
1/12/2022,4726.35,--,4728.59,4748.83,4706.71
1/11/2022,4713.07,--,4669.14,4714.13,4638.27
1/10/2022,4670.29,--,4655.34,4673.02,4582.24
1/7/2022,4677.03,--,4697.66,4707.95,4662.74
1/6/2022,4696.05,--,4693.39,4725.01,4671.26
1/5/2022,4700.58,--,4787.99,4797.7,4699.44
1/4/2022,4793.54,--,4804.51,4818.62,4774.27
1/3/2022,4796.56,--,4778.14,4796.64,4758.17
12/31/2021,4766.18,--,4775.21,4786.83,4765.75
12/30/2021,4778.73,--,4794.23,4808.93,4775.33
12/29/2021,4793.06,--,4788.64,4804.06,4778.08
12/28/2021,4786.35,--,4795.49,4807.02,4780.04
12/27/2021,4791.19,--,4733.99,4791.49,4733.99
12/23/2021,4725.79,--,4703.96,4740.74,4703.96
12/22/2021,4696.56,--,4650.36,4697.67,4645.53
12/21/2021,4649.23,--,4594.96,4651.14,4583.16
12/20/2021,4568.02,--,4587.9,4587.9,4531.1
12/17/2021,4620.64,--,4652.5,4666.7,4600.22
12/16/2021,4668.67,--,4719.13,4731.99,4651.89
12/15/2021,4709.85,--,4636.46,4712.6,4611.22
12/14/2021,4634.09,--,4642.99,4660.47,4606.52
12/13/2021,4668.97,--,4710.3,4710.3,4667.6
12/10/2021,4712.02,--,4687.64,4713.57,4670.24
12/9/2021,4667.45,--,4691,4695.26,4665.98
12/8/2021,4701.21,--,4690.86,4705.06,4674.52
12/7/2021,4686.75,--,4631.97,4694.04,4631.97
12/6/2021,4591.67,--,4548.37,4612.6,4540.51
12/3/2021,4538.43,--,4589.49,4608.03,4495.12
12/2/2021,4577.1,--,4504.73,4595.46,4504.73
12/1/2021,4513.04,--,4602.82,4652.94,4510.27
11/30/2021,4567,--,4640.25,4646.02,4560
11/29/2021,4655.27,--,4628.75,4672.95,4625.26
11/26/2021,4594.62,--,4664.63,4664.63,4585.43
11/24/2021,4701.46,--,4675.78,4702.87,4659.89
11/23/2021,4690.7,--,4678.48,4699.39,4652.66
11/22/2021,4682.94,--,4712,4743.83,4682.17
